iter	Logloss
0	0.6823736331
1	0.6727122853
2	0.6643220026
3	0.6561167937
4	0.6504718334
5	0.6454038563
6	0.6376760209
7	0.6335087902
8	0.629230269
9	0.6239603963
10	0.6187063076
11	0.6138913524
12	0.6098359033
13	0.6057987715
14	0.6024619314
15	0.5992737626
16	0.5969171968
17	0.5929636133
18	0.5882501232
19	0.5846697121
20	0.5815083923
21	0.5783899045
22	0.5752027799
23	0.571919767
24	0.5695927662
25	0.5670329391
26	0.5652288645
27	0.5625288147
28	0.5587453136
29	0.5563881376
30	0.5529362415
31	0.5504998165
32	0.5487578155
33	0.5463354718
34	0.5423016012
35	0.5397489922
36	0.5371974642
37	0.5349847955
38	0.5322987426
39	0.529156151
40	0.5265197608
41	0.5246663998
42	0.523305498
43	0.5222481053
44	0.520019457
45	0.5185646744
46	0.5173062947
47	0.5146094839
48	0.5127619378
49	0.5104591415
50	0.5083269626
51	0.5060654552
52	0.50394879
53	0.5014956166
54	0.4998430099
55	0.4976980358
56	0.4969019143
57	0.4952317055
58	0.4936165687
59	0.492081632
60	0.4893272883
61	0.4874798712
62	0.4844224317
63	0.4815932867
64	0.4785551385
65	0.4761546631
66	0.4744913779
67	0.4725571515
68	0.4710283262
69	0.4694626122
70	0.4682095951
71	0.4668782894
72	0.4636458226
73	0.4600622233
74	0.4578885919
75	0.4568343416
76	0.4545444916
77	0.4526544753
78	0.4502614144
79	0.4491050209
80	0.4470853462
81	0.4437902975
82	0.4409103695
83	0.4384605029
84	0.4358615752
85	0.4341856095
86	0.4318132216
87	0.4302135588
88	0.4285298299
89	0.4261446373
90	0.424822164
91	0.4234790155
92	0.4215445186
93	0.4199947768
94	0.4182358955
95	0.4167246239
96	0.4149936681
97	0.4130963804
98	0.411545804
99	0.408992107
100	0.407633592
101	0.4057611375
102	0.4049189837
103	0.4033883286
104	0.4016365678
105	0.4006300344
106	0.3997443909
107	0.398875854
108	0.396907564
109	0.3951412624
110	0.3943249606
111	0.3926542238
112	0.3909182952
113	0.38868837
114	0.3865961612
115	0.3852102224
116	0.3838722634
117	0.3828070885
118	0.3812481302
119	0.3795899555
120	0.3778780626
121	0.3761449386
122	0.3738831307
123	0.3719977595
124	0.3704192667
125	0.3681913846
126	0.3661159628
127	0.3639495557
128	0.3626460562
129	0.3607175875
130	0.3597330016
131	0.3586584829
132	0.3570457155
133	0.355500946
134	0.3539328663
135	0.3531617457
136	0.352086049
137	0.3504583156
138	0.3495613777
139	0.3485830036
140	0.3474254817
141	0.345663453
142	0.3444841023
143	0.3424596132
144	0.3405538593
145	0.3392984979
146	0.3369880891
147	0.3362331071
148	0.3349341234
149	0.3335133376
150	0.3321790934
151	0.3302782061
152	0.3294861057
153	0.3281816997
